"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"135","CLE","652,006","8,579",27.9,27.8,98,96,3,3,11,"$143,650","Vitt",1928,"0"
"136","DET","799,557","10,121",28.2,27.8,107,106,2,4,12,"$163,700","Cochrane and Baker",1928,"0"
"137","NYG","799,633","10,954",28.5,28.1,101,100,2,5,10,"","Terry",1928,"0"
"138","NYY","970,916","12,290",28.3,30.1,100,95,6,7,16,"$294,000","McCarthy",1928,"0"
"139","PHA","385,357","5,070",26.6,27,96,100,0,1,10,"$112,627","Mack",1928,"0"
"140","PHI","166,111","2,215",28.3,28.5,100,105,1,1,10,"","Wilson and Lobert",1928,"0"
"141","PIT","641,033","8,218",29.8,28.4,100,100,4,3,8,"","Traynor",1928,"0"
"142","SLB","130,417","1,694",27.9,29.7,99,104,0,1,6,"$136,683","Street and Melillo",1928,"0"
"143","STL","291,418","3,598",26.2,28.3,105,104,3,1,13,"","Frisch and González",1928,"0"
"144","WSH","522,694","6,701",28.6,29.3,92,94,3,3,11,"$109,000","Harris",1928,"0"
"145","BOS","394,620","5,059",28.2,26.3,97,100,1,0,2,"$149,900","Carrigan",1929,"0"
"146","BRO","731,886","9,505",30,29.6,98,98,3,0,1,"$233,000","Robinson",1929,"0"
"147","BSN","372,351","4,836",30.6,29.7,95,99,3,0,0,"$185,800","Fuchs",1929,"0"
"148","CHC","1,485,166","19,041",29.9,29.7,100,97,4,0,3,"$254,155","McCarthy",1929,"0"
"149","CHW","426,795","5,616",26.8,29.1,98,100,2,0,1,"$157,000","Blackburne",1929,"0"
"150","CIN","295,040","3,783",29.7,32,95,97,2,0,0,"$207,850","Hendricks",1929,"0"
"151","CLE","536,210","7,055",28.6,27.5,103,104,2,0,4,"$113,300","Peckinpaugh",1929,"0"
"152","DET","869,318","11,290",27.6,27.9,100,101,3,0,2,"$133,250","Harris",1929,"0"
"153","NYG","868,806","11,283",27,29,100,97,7,0,5,"$252,633","McGraw",1929,"0"
"154","NYY","960,148","12,469",27.4,28.9,94,91,8,0,5,"$306,100","Huggins and Fletcher",1929,"0"
"155","PHA","839,176","11,340",28.7,31.3,104,99,5,0,6,"$179,000","Mack",1929,"0"
"156","PHI","281,200","3,700",26.6,28.2,106,110,1,0,3,"$124,150","Shotton",1929,"0"
"157","PIT","491,377","6,465",27.3,30.7,103,102,4,0,6,"$212,250","Bush and Ens",1929,"0"
"158","SLB","280,697","3,645",29.6,28.8,103,104,2,0,3,"$160,800","Howley",1929,"0"
"159","STL","399,887","5,193",28.4,32.3,103,101,6,0,5,"$215,650","Southworth, Street and McKechnie",1929,"0"
"160","WSH","355,506","4,558",28.2,27.5,101,100,3,0,5,"$111,300","Johnson",1929,"0"
